farmer_id,risk_type,time_step,alpha,contamination,cost,technology
0,risk_neutral,0,0.91011597802703,0.5320456953706241,4064.3210152519355,0.6933466887849616
0,risk_neutral,1,0.8905224668122507,0.5355898366830211,3873.6004752603462,0.7011464215533908
0,risk_neutral,2,0.95,0.4903154617527987,4131.427548691545,0.7502171531915247
0,risk_neutral,3,0.95,0.4883911041960828,4012.2079262789757,0.7543565800928446
0,risk_neutral,4,0.8496080050167775,0.5114010633191548,4205.689699308892,0.7893065189306283
0,risk_neutral,5,0.95,0.45430113872942784,4113.7124750430185,0.8305210522754086
0,risk_neutral,6,0.8668382760380254,0.4819548232429521,4302.14047674319,0.8420312268305423
0,risk_neutral,7,0.9123703367958348,0.4413599067273448,4096.886519920274,0.8964502552992504
0,risk_neutral,8,0.8737525620168188,0.4577758338357216,3926.6925926693484,0.8942756730298724
0,risk_neutral,9,0.95,0.4258133173412744,4458.061416915657,0.8986886852250093
0,risk_neutral,10,0.933944810481148,0.4314730057839566,3994.322143671148,0.9
0,risk_neutral,11,0.9132743159571177,0.4395750191611311,4172.605095085921,0.9
0,risk_neutral,12,0.8924489471658018,0.47212918747018634,4012.8106250233986,0.8409474076497951
0,risk_neutral,13,0.8519868953077676,0.4805632761568117,4110.172504161519,0.8601028667532126
0,risk_neutral,14,0.8857208031088605,0.47239985909753063,4183.456673540246,0.8466883585619176
0,risk_neutral,15,0.9015025274015186,0.46233182025730735,4112.951131339856,0.8557629031385369
0,risk_neutral,16,0.9356424199663472,0.45146864273190423,4309.067981623075,0.8499500908468496
0,risk_neutral,17,0.95,0.44059817674520013,3912.2141079105054,0.862759981832081
0,risk_neutral,18,0.95,0.44999405038752105,3847.844998313565,0.8405483343855147
0,risk_neutral,19,0.8755861407098766,0.47457813862981435,3899.525955342794,0.8512343493285768
0,risk_neutral,20,0.927398043628923,0.4585394161219627,4063.4515416521813,0.840749049220521
0,risk_neutral,21,0.95,0.4497370447963915,3790.2925711655735,0.841149696748103
0,risk_neutral,22,0.9487901148983796,0.4528297931840331,4318.247249288761,0.8349991680453698
0,risk_neutral,23,0.8812038010787464,0.4708146675723218,4238.37250697975,0.8548428281715578
0,risk_neutral,24,0.9103920652250059,0.4746615169204912,4216.018695963502,0.8184971655452316
0,risk_neutral,25,0.8291275366414698,0.5057452209049021,4113.2797900020705,0.8222163929822851
0,risk_neutral,26,0.8770105233192671,0.4736816212955071,4214.592411834332,0.8520078700664255
0,risk_neutral,27,0.9072270954310532,0.4558897121658146,3863.491282798906,0.8658299139893969
